HugoSymbol	RoleInCancer	Kinase_PPtase	TF	Location	oncogene	tsgene	hgnc_id
A1CF	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:24086
ABI1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:11320
ABL1	Oncogenes	Kinases	Other	Other	TRUE	FALSE	HGNC:76
ABL2	Oncogenes	Kinases	Other	Other	TRUE	FALSE	HGNC:77
ACKR3	Oncogenes	Other	Other	Receptors	TRUE	FALSE	HGNC:23692
ACSL3	Other	Other	Other	Other	FALSE	FALSE	HGNC:3570
ACSL6	Other	Other	Other	Other	FALSE	FALSE	HGNC:16496
ACVR1	Oncogenes	Kinases	Other	Receptors	TRUE	FALSE	HGNC:171
ACVR2A	TSGs	Kinases	Other	Other	FALSE	TRUE	HGNC:173
AFDN	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:7137
AFF1	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:7135
AFF3	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:6473
AFF4	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:17869
AKAP9	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:379
AKT1	Oncogenes	Kinases	Other	Other	TRUE	FALSE	HGNC:391
AKT2	Oncogenes	Kinases	Other	Other	TRUE	FALSE	HGNC:392
AKT3	Oncogenes	Kinases	Other	Other	TRUE	FALSE	HGNC:393
ALDH2	Other	Other	Other	Other	FALSE	FALSE	HGNC:404
ALK	Oncogenes	Kinases	Other	Receptors	TRUE	FALSE	HGNC:427
AMER1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:26837
ANK1	Other	Other	Other	Other	FALSE	FALSE	HGNC:492
APC	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:583
APOBEC3B	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:17352
APOBEC3B	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:17352
AR	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:644
ARAF	Oncogenes	Kinases	Other	Other	TRUE	FALSE	HGNC:646
ARHGAP26	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:17073
ARHGAP35	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:4591
ARHGAP5	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:675
ARHGEF10	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:14103
ARHGEF10L	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:25540
ARHGEF12	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:14193
ARID1A	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:11110
ARID1B	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:18040
ARID2	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:18037
ARNT	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:700
ARNT	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:700
ASPSCR1	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:13825
ASXL1	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:18318
ASXL2	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:23805
ATF1	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:783
ATIC	Other	Other	Other	Other	FALSE	FALSE	HGNC:794
ATM	TSGs	Kinases	Other	Other	FALSE	TRUE	HGNC:795
ATP1A1	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:799
ATP1A1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:799
ATP2B3	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:816
ATR	TSGs	Kinases	Other	Other	FALSE	TRUE	HGNC:882
ATRX	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:886
AXIN1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:903
AXIN2	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:904
B2M	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:914
BAP1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:950
BARD1	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:952
BARD1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:952
BAX	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:959
BAX	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:959
BAZ1A	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:960
BCL10	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:989
BCL11A	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:13221
BCL11B	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:13222
BCL11B	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:13222
BCL2	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:990
BCL2	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:990
BCL2L12	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:13787
BCL3	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:998
BCL6	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:1001
BCL7A	Other	Other	Other	Other	FALSE	FALSE	HGNC:1004
BCL9	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:1008
BCL9L	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:23688
BCL9L	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:23688
BCLAF1	Other	Other	Other	Other	FALSE	FALSE	HGNC:16863
BCOR	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:20893
BCORL1	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:25657
BCORL1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:25657
BCR	Oncogenes	Kinases	Other	Other	TRUE	FALSE	HGNC:1014
BCR	TSGs	Kinases	Other	Other	FALSE	TRUE	HGNC:1014
BIRC3	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:591
BIRC3	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:591
BIRC6	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:13516
BLM	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1058
BMP5	Other	Other	Other	Other	FALSE	FALSE	HGNC:1072
BMPR1A	Oncogenes	Kinases	Other	Other	TRUE	FALSE	HGNC:1076
BMPR1A	TSGs	Kinases	Other	Other	FALSE	TRUE	HGNC:1076
BRAF	Oncogenes	Kinases	Other	Other	TRUE	FALSE	HGNC:1097
BRCA1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1100
BRCA2	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1101
BRD3	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:1104
BRD4	Oncogenes	Kinases	TFs	Other	TRUE	FALSE	HGNC:13575
BRIP1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:20473
BTG1	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:1130
BTG1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1130
BTG2	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1131
BTK	Oncogenes	Kinases	Other	Other	TRUE	FALSE	HGNC:1133
BTK	TSGs	Kinases	Other	Other	FALSE	TRUE	HGNC:1133
BUB1B	TSGs	Kinases	Other	Other	FALSE	TRUE	HGNC:1149
C15orf65	Other	Other	Other	Other	FALSE	FALSE	HGNC:44654
CACNA1D	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:1391
CALR	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:1455
CAMTA1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:18806
CANT1	Other	Other	Other	Other	FALSE	FALSE	HGNC:19721
CARD11	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:16393
CARS	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1493
CASP3	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1504
CASP8	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1509
CASP9	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1511
CBFA2T3	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1537
CBFB	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:1539
CBFB	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1539
CBL	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:1541
CBL	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1541
CBLB	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:1542
CBLB	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1542
CBLC	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:15961
CBLC	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:15961
CCDC6	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:18782
CCDC6	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:18782
CCNB1IP1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:19437
CCNC	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1581
CCND1	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:1582
CCND1	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:1582
CCND2	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:1583
CCND3	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:1585
CCND3	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1585
CCNE1	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:1589
CCNE1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1589
CCR4	Oncogenes	Other	Other	Receptors	TRUE	FALSE	HGNC:1605
CCR7	Oncogenes	Other	Other	Receptors	TRUE	FALSE	HGNC:1608
CD209	Other	Other	Other	Other	FALSE	FALSE	HGNC:1641
CD274	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:17635
CD28	Oncogenes	Other	Other	Receptors	TRUE	FALSE	HGNC:1653
CD74	Oncogenes	Other	Other	Receptors	TRUE	FALSE	HGNC:1697
CD79A	Oncogenes	Other	Other	Receptors	TRUE	FALSE	HGNC:1698
CD79B	Oncogenes	Other	Other	Receptors	TRUE	FALSE	HGNC:1699
CDC73	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:16783
CDH1	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:1748
CDH1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1748
CDH10	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1749
CDH11	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1750
CDH17	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:1756
CDH17	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1756
CDK12	TSGs	Kinases	Other	Other	FALSE	TRUE	HGNC:24224
CDK4	Oncogenes	Kinases	Other	Other	TRUE	FALSE	HGNC:1773
CDK6	Oncogenes	Kinases	Other	Other	TRUE	FALSE	HGNC:1777
CDK6	TSGs	Kinases	Other	Other	FALSE	TRUE	HGNC:1777
CDKN1A	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:1784
CDKN1A	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1784
CDKN1B	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:1785
CDKN1B	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1785
CDKN2A	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1787
CDKN2C	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:1789
CDX2	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:1806
CDX2	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:1806
CEBPA	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:1833
CEP89	Other	Other	Other	Other	FALSE	FALSE	HGNC:25907
CHCHD7	Other	Other	Other	Other	FALSE	FALSE	HGNC:28314
CHD2	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:1917
CHD4	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:1919
CHEK2	TSGs	Kinases	Other	Other	FALSE	TRUE	HGNC:16627
CHIC2	Other	Other	Other	Other	FALSE	FALSE	HGNC:1935
CHST11	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:17422
CIC	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:14214
CIC	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:14214
CIITA	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:7067
CLIP1	Other	Other	Other	Other	FALSE	FALSE	HGNC:10461
CLP1	Other	Other	Other	Other	FALSE	FALSE	HGNC:16999
CLTC	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:2092
CLTCL1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:2093
CNBD1	Other	Other	Other	Other	FALSE	FALSE	HGNC:26663
CNBP	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:13164
CNOT3	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:7879
CNTNAP2	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:13830
CNTRL	Other	Other	Other	Other	FALSE	FALSE	HGNC:1858
COL1A1	Other	Other	Other	Other	FALSE	FALSE	HGNC:2197
COL2A1	Other	Other	Other	Other	FALSE	FALSE	HGNC:2200
COL3A1	Other	Other	Other	Other	FALSE	FALSE	HGNC:2201
COX6C	Other	Other	Other	Other	FALSE	FALSE	HGNC:2285
CPEB3	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:21746
CREB1	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:2345
CREB3L1	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:18856
CREB3L2	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:23720
CREBBP	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:2348
CREBBP	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:2348
CRLF2	Oncogenes	Other	Other	Receptors	TRUE	FALSE	HGNC:14281
CRNKL1	Other	Other	Other	Other	FALSE	FALSE	HGNC:15762
CRTC1	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:16062
CRTC3	Other	Other	Other	Other	FALSE	FALSE	HGNC:26148
CSF1R	Oncogenes	Kinases	Other	Receptors	TRUE	FALSE	HGNC:2433
CSF3R	Oncogenes	Other	Other	Receptors	TRUE	FALSE	HGNC:2439
CSMD3	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:19291
CTCF	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:13723
CTNNA2	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:2510
CTNNA2	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:2510
CTNNB1	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:2514
CTNND1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:2515
CTNND2	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:2516
CUL3	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:2553
CUX1	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:2557
CUX1	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:2557
CXCR4	Oncogenes	Other	Other	Receptors	TRUE	FALSE	HGNC:2561
CYLD	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:2584
CYP2C8	Other	Other	Other	Other	FALSE	FALSE	HGNC:2622
CYSLTR2	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:18274
DAXX	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:2681
DAXX	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:2681
DCAF12L2	Other	Other	Other	Other	FALSE	FALSE	HGNC:32950
DCC	TSGs	Other	Other	Receptors	FALSE	TRUE	HGNC:2701
DCTN1	Other	Other	Other	Other	FALSE	FALSE	HGNC:2711
DDB2	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:2718
DDB2	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:2718
DDIT3	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:2726
DDR2	Oncogenes	Kinases	Other	Receptors	TRUE	FALSE	HGNC:2731
DDR2	TSGs	Kinases	Other	Receptors	FALSE	TRUE	HGNC:2731
DDX10	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:2735
DDX3X	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:2745
DDX5	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:2746
DDX5	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:2746
DDX6	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:2747
DEK	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:2768
DGCR8	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:2847
DICER1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:17098
DNAJB1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:5270
DNM2	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:2974
DNMT3A	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:2978
DROSHA	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:17904
DUX4L1	Other	Other	Other	Other	FALSE	FALSE	HGNC:3082
EBF1	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:3126
ECT2L	Other	Other	Other	Other	FALSE	FALSE	HGNC:21118
EED	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:3188
EGFR	Oncogenes	Kinases	Other	Receptors	TRUE	FALSE	HGNC:3236
EIF1AX	Other	Other	Other	Other	FALSE	FALSE	HGNC:3250
EIF3E	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:3277
EIF3E	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3277
EIF4A2	Other	Other	Other	Other	FALSE	FALSE	HGNC:3284
ELF3	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:3318
ELF4	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:3319
ELF4	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:3319
ELK4	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:3326
ELL	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:23114
ELL	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:23114
ELN	Other	Other	Other	Other	FALSE	FALSE	HGNC:3327
EML4	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:1316
EP300	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:3373
EPAS1	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:3374
EPAS1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3374
EPHA3	TSGs	Kinases	Other	Receptors	FALSE	TRUE	HGNC:3387
EPHA7	Other	Other	Other	Receptors	FALSE	FALSE	HGNC:3390
EPS15	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:3419
EPS15	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3419
ERBB2	Oncogenes	Kinases	Other	Receptors	TRUE	FALSE	HGNC:3430
ERBB3	Oncogenes	Kinases	Other	Receptors	TRUE	FALSE	HGNC:3431
ERBB4	Oncogenes	Kinases	Other	Receptors	TRUE	FALSE	HGNC:3432
ERBB4	TSGs	Kinases	Other	Receptors	FALSE	TRUE	HGNC:3432
ERC1	Other	Other	Other	Other	FALSE	FALSE	HGNC:17072
ERCC2	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3434
ERCC3	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3435
ERCC4	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3436
ERCC5	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3437
ERG	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:3446
ESR1	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:3467
ESR1	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:3467
ETNK1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:24649
ETV1	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:3490
ETV4	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:3493
ETV5	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:3494
ETV6	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:3495
ETV6	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:3495
EWSR1	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:3508
EXT1	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3512
EXT2	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3513
EZH2	Oncogenes	Other	TFs	Other	TRUE	FALSE	HGNC:3527
EZH2	TSGs	Other	TFs	Other	FALSE	TRUE	HGNC:3527
EZR	Other	Other	Other	Other	FALSE	FALSE	HGNC:12691
FAM131B	Other	Other	Other	Other	FALSE	FALSE	HGNC:22202
FAM135B	Other	Other	Other	Other	FALSE	FALSE	HGNC:28029
FAM47C	Other	Other	Other	Other	FALSE	FALSE	HGNC:25301
FANCA	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3582
FANCC	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3584
FANCD2	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3585
FANCE	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3586
FANCF	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3587
FANCG	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3588
FAS	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:11920
FAT1	TSGs	Other	Other	Receptors	FALSE	TRUE	HGNC:3595
FAT3	TSGs	Other	Other	Receptors	FALSE	TRUE	HGNC:23112
FAT4	TSGs	Other	Other	Receptors	FALSE	TRUE	HGNC:23109
FBLN2	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:3601
FBXO11	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:13590
FBXW7	TSGs	Other	Other	Other	FALSE	TRUE	HGNC:16712
FCGR2B	Oncogenes	Other	Other	Other	TRUE	FALSE	HGNC:3618
FCRL4	Oncogenes	Other	Other	Receptors	TRUE	FALSE	HGNC:18507
