Gene	oncogene	tsgene	hgnc_id
ABL1	FALSE	FALSE	HGNC:76
ACVR1	TRUE	FALSE	HGNC:171
ACVR1B	FALSE	TRUE	HGNC:172
ACVR2A	FALSE	TRUE	HGNC:173
AJUBA	FALSE	TRUE	HGNC:20250
AKT1	TRUE	FALSE	HGNC:391
ALB	FALSE	TRUE	HGNC:399
ALK	FALSE	FALSE	HGNC:427
AMER1	FALSE	TRUE	HGNC:26837
APC	FALSE	TRUE	HGNC:583
APOB	FALSE	TRUE	HGNC:603
AR	FALSE	FALSE	HGNC:644
ARAF	FALSE	FALSE	HGNC:646
ARHGAP35	FALSE	TRUE	HGNC:4591
ARID1A	TRUE	TRUE	HGNC:11110
ARID2	FALSE	TRUE	HGNC:18037
ARID5B	FALSE	TRUE	HGNC:17362
ASXL1	FALSE	TRUE	HGNC:18318
ASXL2	FALSE	TRUE	HGNC:23805
ATF7IP	FALSE	TRUE	HGNC:20092
ATM	FALSE	TRUE	HGNC:795
ATR	FALSE	TRUE	HGNC:882
ATRX	FALSE	TRUE	HGNC:886
ATXN3	FALSE	TRUE	HGNC:7106
AXIN1	FALSE	TRUE	HGNC:903
AXIN2	FALSE	TRUE	HGNC:904
B2M	FALSE	TRUE	HGNC:914
BAP1	FALSE	TRUE	HGNC:950
BCL2	FALSE	FALSE	HGNC:990
BCL2L11	FALSE	FALSE	HGNC:994
BCOR	TRUE	TRUE	HGNC:20893
BRAF	TRUE	FALSE	HGNC:1097
BRCA1	FALSE	TRUE	HGNC:1100
BRCA2	FALSE	TRUE	HGNC:1101
BRD7	FALSE	TRUE	HGNC:14310
BTG2	FALSE	TRUE	HGNC:1131
CACNA1A	TRUE	FALSE	HGNC:1388
CARD11	TRUE	FALSE	HGNC:16393
CASP8	FALSE	TRUE	HGNC:1509
CBFB	FALSE	TRUE	HGNC:1539
CBWD3	FALSE	FALSE	HGNC:18519
CCND1	TRUE	FALSE	HGNC:1582
CD70	FALSE	TRUE	HGNC:11937
CD79B	TRUE	FALSE	HGNC:1699
CDH1	TRUE	TRUE	HGNC:1748
CDK12	FALSE	TRUE	HGNC:24224
CDK4	TRUE	FALSE	HGNC:1773
CDKN1A	TRUE	TRUE	HGNC:1784
CDKN1B	FALSE	TRUE	HGNC:1785
CDKN2A	FALSE	TRUE	HGNC:1787
CDKN2C	FALSE	TRUE	HGNC:1789
CEBPA	TRUE	FALSE	HGNC:1833
CHD3	FALSE	TRUE	HGNC:1918
CHD4	TRUE	TRUE	HGNC:1919
CHD8	FALSE	TRUE	HGNC:20153
CHEK2	FALSE	TRUE	HGNC:16627
CIC	FALSE	TRUE	HGNC:14214
CNBD1	TRUE	FALSE	HGNC:26663
COL5A1	TRUE	FALSE	HGNC:2209
CREB3L3	FALSE	TRUE	HGNC:18855
CREBBP	FALSE	TRUE	HGNC:2348
CSDE1	FALSE	TRUE	HGNC:29905
CTCF	FALSE	TRUE	HGNC:13723
CTNNB1	TRUE	FALSE	HGNC:2514
CTNND1	FALSE	TRUE	HGNC:2515
CUL1	TRUE	FALSE	HGNC:2551
CUL3	FALSE	TRUE	HGNC:2553
CYLD	FALSE	TRUE	HGNC:2584
CYSLTR2	TRUE	FALSE	HGNC:18274
DACH1	TRUE	FALSE	HGNC:2663
DAZAP1	FALSE	TRUE	HGNC:2683
DDX3X	FALSE	TRUE	HGNC:2745
DHX9	TRUE	FALSE	HGNC:2750
DIAPH2	TRUE	FALSE	HGNC:2877
DICER1	TRUE	FALSE	HGNC:17098
DMD	TRUE	FALSE	HGNC:2928
DNMT3A	FALSE	TRUE	HGNC:2978
EEF1A1	TRUE	FALSE	HGNC:3189
EEF2	FALSE	TRUE	HGNC:3214
EGFR	TRUE	FALSE	HGNC:3236
EGR3	FALSE	FALSE	HGNC:3240
EIF1AX	TRUE	FALSE	HGNC:3250
ELF3	FALSE	TRUE	HGNC:3318
EP300	TRUE	TRUE	HGNC:3373
EPAS1	TRUE	FALSE	HGNC:3374
EPHA2	FALSE	TRUE	HGNC:3386
EPHA3	FALSE	FALSE	HGNC:3387
ERBB2	TRUE	FALSE	HGNC:3430
ERBB3	TRUE	FALSE	HGNC:3431
ERBB4	TRUE	FALSE	HGNC:3432
ERCC2	TRUE	FALSE	HGNC:3434
ESR1	FALSE	FALSE	HGNC:3467
EZH2	FALSE	FALSE	HGNC:3527
FAM46D	TRUE	FALSE	HGNC:28399
FAT1	FALSE	TRUE	HGNC:3595
FBXW7	TRUE	TRUE	HGNC:16712
FGFR1	FALSE	FALSE	HGNC:3688
FGFR2	TRUE	FALSE	HGNC:3689
FGFR3	TRUE	FALSE	HGNC:3690
FLNA	FALSE	TRUE	HGNC:3754
FLT3	TRUE	FALSE	HGNC:3765
FOXA1	TRUE	TRUE	HGNC:5021
FOXA2	FALSE	TRUE	HGNC:5022
FOXQ1	FALSE	TRUE	HGNC:20951
FUBP1	FALSE	TRUE	HGNC:4004
GABRA6	FALSE	FALSE	HGNC:4080
GATA3	FALSE	TRUE	HGNC:4172
GNA11	TRUE	FALSE	HGNC:4379
GNA13	TRUE	FALSE	HGNC:4381
GNAQ	TRUE	FALSE	HGNC:4390
GNAS	TRUE	FALSE	HGNC:4392
GPS2	FALSE	TRUE	HGNC:4550
GRIN2D	TRUE	FALSE	HGNC:4588
GTF2I	TRUE	FALSE	HGNC:4659
H3F3A	TRUE	FALSE	HGNC:4764
H3F3C	FALSE	FALSE	HGNC:33164
HGF	FALSE	FALSE	HGNC:4893
HIST1H1C	FALSE	FALSE	HGNC:4716
HIST1H1E	TRUE	TRUE	HGNC:4718
HLA-A	FALSE	TRUE	HGNC:4931
HLA-B	FALSE	TRUE	HGNC:4932
HRAS	TRUE	FALSE	HGNC:5173
HUWE1	FALSE	TRUE	HGNC:30892
IDH1	TRUE	FALSE	HGNC:5382
IDH2	TRUE	FALSE	HGNC:5383
IL6ST	FALSE	TRUE	HGNC:6021
IL7R	FALSE	FALSE	HGNC:6024
INPPL1	FALSE	TRUE	HGNC:6080
IRF2	FALSE	TRUE	HGNC:6117
IRF6	FALSE	TRUE	HGNC:6121
JAK1	FALSE	TRUE	HGNC:6190
JAK2	FALSE	FALSE	HGNC:6192
JAK3	FALSE	FALSE	HGNC:6193
KANSL1	FALSE	TRUE	HGNC:24565
KDM5C	FALSE	TRUE	HGNC:11114
KDM6A	FALSE	TRUE	HGNC:12637
KEAP1	TRUE	TRUE	HGNC:23177
KEL	FALSE	FALSE	HGNC:6308
KIF1A	FALSE	TRUE	HGNC:888
KIT	TRUE	FALSE	HGNC:6342
KLF5	TRUE	FALSE	HGNC:6349
KMT2A	FALSE	TRUE	HGNC:7132
KMT2B	FALSE	TRUE	HGNC:15840
KMT2C	FALSE	TRUE	HGNC:13726
KMT2D	FALSE	TRUE	HGNC:7133
KRAS	TRUE	FALSE	HGNC:6407
KRT222	FALSE	TRUE	HGNC:28695
LATS1	FALSE	TRUE	HGNC:6514
LATS2	FALSE	TRUE	HGNC:6515
LEMD2	FALSE	FALSE	HGNC:21244
LZTR1	TRUE	TRUE	HGNC:6742
MACF1	TRUE	FALSE	HGNC:13664
MAP2K1	TRUE	FALSE	HGNC:6840
MAP2K4	FALSE	TRUE	HGNC:6844
MAP3K1	FALSE	TRUE	HGNC:6848
MAP3K4	FALSE	TRUE	HGNC:6856
MAPK1	TRUE	FALSE	HGNC:6871
MAX	TRUE	FALSE	HGNC:6913
MECOM	TRUE	FALSE	HGNC:3498
MED12	TRUE	FALSE	HGNC:11957
MEN1	FALSE	TRUE	HGNC:7010
MET	TRUE	TRUE	HGNC:7029
MGA	FALSE	TRUE	HGNC:14010
MGMT	FALSE	FALSE	HGNC:7059
MLH1	FALSE	FALSE	HGNC:7127
MSH2	FALSE	FALSE	HGNC:7325
MSH3	TRUE	FALSE	HGNC:7326
MSH6	FALSE	TRUE	HGNC:7329
MTOR	TRUE	FALSE	HGNC:3942
MUC6	FALSE	TRUE	HGNC:7517
MYC	TRUE	FALSE	HGNC:7553
MYCN	TRUE	FALSE	HGNC:7559
MYD88	TRUE	FALSE	HGNC:7562
MYH9	TRUE	FALSE	HGNC:7579
NCOR1	FALSE	TRUE	HGNC:7672
NF1	FALSE	TRUE	HGNC:7765
NF2	FALSE	TRUE	HGNC:7773
NFE2L2	TRUE	FALSE	HGNC:7782
NIPBL	FALSE	TRUE	HGNC:28862
NOTCH1	FALSE	TRUE	HGNC:7881
NOTCH2	FALSE	FALSE	HGNC:7882
NPM1	TRUE	FALSE	HGNC:7910
NRAS	TRUE	TRUE	HGNC:7989
NSD1	FALSE	TRUE	HGNC:14234
NUP133	FALSE	TRUE	HGNC:18016
NUP93	FALSE	TRUE	HGNC:28958
PAX5	FALSE	FALSE	HGNC:8619
PBRM1	FALSE	TRUE	HGNC:30064
PCBP1	TRUE	FALSE	HGNC:8647
PDGFRA	TRUE	FALSE	HGNC:8803
PDS5B	FALSE	TRUE	HGNC:20418
PGR	FALSE	TRUE	HGNC:8910
PHF6	FALSE	TRUE	HGNC:18145
PIK3CA	TRUE	FALSE	HGNC:8975
PIK3CB	FALSE	FALSE	HGNC:8976
PIK3CG	TRUE	FALSE	HGNC:8978
PIK3R1	TRUE	TRUE	HGNC:8979
PIK3R2	TRUE	FALSE	HGNC:8980
PIM1	TRUE	FALSE	HGNC:8986
PLCB4	TRUE	FALSE	HGNC:9059
PLCG1	TRUE	FALSE	HGNC:9065
PLXNB2	TRUE	FALSE	HGNC:9104
PMS1	TRUE	FALSE	HGNC:9121
PMS2	FALSE	TRUE	HGNC:9122
POLE	FALSE	FALSE	HGNC:9177
POLQ	FALSE	FALSE	HGNC:9186
POLRMT	TRUE	FALSE	HGNC:9200
PPM1D	FALSE	FALSE	HGNC:9277
PPP2R1A	TRUE	FALSE	HGNC:9302
PPP6C	TRUE	FALSE	HGNC:9323
PRKAR1A	FALSE	TRUE	HGNC:9388
PSIP1	FALSE	TRUE	HGNC:9527
PTCH1	FALSE	TRUE	HGNC:9585
PTEN	FALSE	TRUE	HGNC:9588
PTMA	FALSE	TRUE	HGNC:9623
PTPDC1	TRUE	FALSE	HGNC:30184
PTPN11	TRUE	FALSE	HGNC:9644
PTPRC	TRUE	FALSE	HGNC:9666
PTPRD	FALSE	FALSE	HGNC:9668
RAC1	TRUE	FALSE	HGNC:9801
RAD21	FALSE	FALSE	HGNC:9811
RAF1	FALSE	FALSE	HGNC:9829
RARA	FALSE	FALSE	HGNC:9864
RASA1	FALSE	TRUE	HGNC:9871
RB1	FALSE	TRUE	HGNC:9884
RBM10	FALSE	TRUE	HGNC:9896
RET	TRUE	FALSE	HGNC:9967
RFC1	FALSE	TRUE	HGNC:9969
RHEB	FALSE	FALSE	HGNC:10011
RHOA	TRUE	FALSE	HGNC:667
RHOB	TRUE	FALSE	HGNC:668
RIT1	FALSE	FALSE	HGNC:10023
RNF111	FALSE	TRUE	HGNC:17384
RNF43	FALSE	TRUE	HGNC:18505
RPL22	FALSE	TRUE	HGNC:10315
RPL5	FALSE	TRUE	HGNC:10360
RPS6KA3	FALSE	TRUE	HGNC:10432
RQCD1	TRUE	FALSE	HGNC:10445
RRAS2	TRUE	FALSE	HGNC:17271
RUNX1	FALSE	TRUE	HGNC:10471
RXRA	TRUE	FALSE	HGNC:10477
SCAF4	FALSE	TRUE	HGNC:19304
SETBP1	TRUE	FALSE	HGNC:15573
SETD2	FALSE	TRUE	HGNC:18420
SF1	TRUE	FALSE	HGNC:12950
SF3B1	TRUE	FALSE	HGNC:10768
SIN3A	FALSE	TRUE	HGNC:19353
SMAD2	FALSE	TRUE	HGNC:6768
SMAD4	TRUE	TRUE	HGNC:6770
SMARCA1	FALSE	TRUE	HGNC:11097
SMARCA4	TRUE	TRUE	HGNC:11100
SMARCB1	TRUE	FALSE	HGNC:11103
SMC1A	TRUE	FALSE	HGNC:11111
SMC3	TRUE	FALSE	HGNC:2468
SOS1	TRUE	FALSE	HGNC:11187
SOX17	TRUE	FALSE	HGNC:18122
SOX9	FALSE	TRUE	HGNC:11204
SPOP	TRUE	FALSE	HGNC:11254
SPTA1	FALSE	TRUE	HGNC:11272
SPTAN1	FALSE	TRUE	HGNC:11273
SRSF2	FALSE	FALSE	HGNC:10783
STAG2	FALSE	TRUE	HGNC:11355
STK11	FALSE	TRUE	HGNC:11389
TAF1	TRUE	FALSE	HGNC:11535
TBL1XR1	FALSE	TRUE	HGNC:29529
TBX3	FALSE	TRUE	HGNC:11602
TCEB1	FALSE	TRUE	HGNC:11617
TCF12	FALSE	TRUE	HGNC:11623
TCF7L2	FALSE	TRUE	HGNC:11641
TET2	FALSE	FALSE	HGNC:25941
TGFBR2	FALSE	TRUE	HGNC:11773
TGIF1	FALSE	TRUE	HGNC:11776
THRAP3	FALSE	TRUE	HGNC:22964
TLR4	FALSE	FALSE	HGNC:11850
TMSB4X	FALSE	TRUE	HGNC:11881
TNFAIP3	FALSE	TRUE	HGNC:11896
TP53	TRUE	TRUE	HGNC:11998
TRAF3	FALSE	TRUE	HGNC:12033
TSC1	FALSE	TRUE	HGNC:12362
TSC2	FALSE	TRUE	HGNC:12363
TXNIP	FALSE	TRUE	HGNC:16952
U2AF1	TRUE	FALSE	HGNC:12453
UNCX	TRUE	FALSE	HGNC:33194
USP9X	FALSE	TRUE	HGNC:12632
VHL	FALSE	TRUE	HGNC:12687
WHSC1	TRUE	FALSE	HGNC:12766
WT1	TRUE	TRUE	HGNC:12796
XPO1	TRUE	FALSE	HGNC:12825
ZBTB20	FALSE	TRUE	HGNC:13503
ZBTB7B	FALSE	TRUE	HGNC:18668
ZC3H12A	FALSE	FALSE	HGNC:26259
ZCCHC12	TRUE	FALSE	HGNC:27273
ZFHX3	FALSE	TRUE	HGNC:777
ZFP36L1	FALSE	TRUE	HGNC:1107
ZFP36L2	FALSE	TRUE	HGNC:1108
ZMYM2	FALSE	TRUE	HGNC:12989
ZMYM3	FALSE	TRUE	HGNC:13054
ZNF133	TRUE	FALSE	HGNC:12917
ZNF750	FALSE	TRUE	HGNC:25843
