hgnc_id	oncogene	tsgene	citation_count
HGNC:1001	TRUE	FALSE	105
HGNC:10019	TRUE	FALSE	9
HGNC:10064	FALSE	TRUE	10
HGNC:1014	TRUE	FALSE	179
HGNC:10261	TRUE	FALSE	206
HGNC:1034	FALSE	TRUE	14
HGNC:10471	TRUE	TRUE	91
HGNC:10472	TRUE	FALSE	11
HGNC:10473	TRUE	TRUE	134
HGNC:1066	TRUE	FALSE	21
HGNC:10728	FALSE	TRUE	8
HGNC:10761	TRUE	FALSE	33
HGNC:10780	TRUE	FALSE	20
HGNC:10848	TRUE	FALSE	14
HGNC:10886	FALSE	TRUE	8
HGNC:10901	TRUE	FALSE	28
HGNC:1097	TRUE	FALSE	1394
HGNC:1100	TRUE	TRUE	412
HGNC:1101	FALSE	TRUE	112
HGNC:11026	TRUE	FALSE	8
HGNC:11086	FALSE	TRUE	11
HGNC:11100	FALSE	TRUE	8
HGNC:11103	TRUE	TRUE	61
HGNC:11110	FALSE	TRUE	28
HGNC:11114	FALSE	TRUE	9
HGNC:11119	TRUE	FALSE	16
HGNC:11190	TRUE	FALSE	11
HGNC:11195	TRUE	FALSE	134
HGNC:11200	TRUE	FALSE	15
HGNC:11204	TRUE	FALSE	10
HGNC:11219	FALSE	TRUE	10
HGNC:11241	TRUE	FALSE	13
HGNC:11254	TRUE	TRUE	53
HGNC:11283	TRUE	FALSE	141
HGNC:11336	TRUE	FALSE	10
HGNC:11340	TRUE	FALSE	25
HGNC:11362	FALSE	TRUE	23
HGNC:11364	TRUE	TRUE	191
HGNC:11389	TRUE	TRUE	126
HGNC:11393	TRUE	FALSE	36
HGNC:11491	TRUE	TRUE	37
HGNC:11524	TRUE	FALSE	21
HGNC:11556	TRUE	FALSE	27
HGNC:11577	TRUE	FALSE	54
HGNC:11604	FALSE	TRUE	8
HGNC:11621	FALSE	TRUE	11
HGNC:11642	TRUE	TRUE	18
HGNC:11648	TRUE	FALSE	45
HGNC:11730	TRUE	FALSE	41
HGNC:11748	TRUE	FALSE	16
HGNC:11755	FALSE	TRUE	22
HGNC:11801	FALSE	TRUE	12
HGNC:11812	TRUE	FALSE	8
HGNC:11825	TRUE	FALSE	44
HGNC:11876	TRUE	FALSE	16
HGNC:11896	FALSE	TRUE	37
HGNC:11998	TRUE	TRUE	1731
HGNC:12005	TRUE	FALSE	8
HGNC:12036	TRUE	FALSE	12
HGNC:12397	TRUE	FALSE	17
HGNC:12556	TRUE	FALSE	9
HGNC:12680	TRUE	FALSE	135
HGNC:12687	TRUE	TRUE	463
HGNC:12766	TRUE	FALSE	9
HGNC:12769	TRUE	TRUE	24
HGNC:12771	FALSE	TRUE	9
HGNC:12774	TRUE	FALSE	28
HGNC:12784	FALSE	TRUE	17
HGNC:12796	TRUE	TRUE	592
HGNC:12799	TRUE	TRUE	37
HGNC:12856	TRUE	TRUE	20
HGNC:12876	FALSE	TRUE	8
HGNC:13009	TRUE	FALSE	16
HGNC:1316	TRUE	FALSE	84
HGNC:13176	FALSE	TRUE	20
HGNC:13236	TRUE	FALSE	13
HGNC:13723	TRUE	TRUE	12
HGNC:13726	FALSE	TRUE	14
HGNC:13890	FALSE	TRUE	10
HGNC:14310	FALSE	TRUE	20
HGNC:14460	FALSE	TRUE	13
HGNC:14466	FALSE	TRUE	10
HGNC:1455	TRUE	FALSE	57
HGNC:14552	TRUE	FALSE	15
HGNC:14881	TRUE	TRUE	15
HGNC:14929	TRUE	TRUE	18
HGNC:14931	FALSE	TRUE	15
HGNC:14934	TRUE	TRUE	24
HGNC:14935	TRUE	FALSE	9
HGNC:1535	TRUE	FALSE	26
HGNC:1541	TRUE	FALSE	24
HGNC:1542	TRUE	FALSE	21
HGNC:15451	TRUE	FALSE	8
HGNC:15452	TRUE	FALSE	8
HGNC:15472	FALSE	TRUE	13
HGNC:15586	FALSE	TRUE	19
HGNC:15818	FALSE	TRUE	10
HGNC:1582	TRUE	FALSE	296
HGNC:15867	TRUE	FALSE	16
HGNC:1589	TRUE	FALSE	13
HGNC:15924	TRUE	FALSE	12
HGNC:15979	TRUE	FALSE	19
HGNC:16262	TRUE	TRUE	241
HGNC:16393	TRUE	FALSE	9
HGNC:16712	FALSE	TRUE	30
HGNC:16783	FALSE	TRUE	18
HGNC:16816	FALSE	TRUE	18
HGNC:16846	TRUE	FALSE	20
HGNC:17274	TRUE	TRUE	17
HGNC:17294	FALSE	TRUE	12
HGNC:17298	TRUE	FALSE	12
HGNC:1748	TRUE	TRUE	85
HGNC:17563	TRUE	TRUE	172
HGNC:1759	TRUE	FALSE	19
HGNC:1762	TRUE	FALSE	10
HGNC:17635	TRUE	FALSE	287
HGNC:1773	TRUE	TRUE	16
HGNC:1779	TRUE	FALSE	54
HGNC:1784	TRUE	TRUE	47
HGNC:1785	TRUE	TRUE	17
HGNC:1787	TRUE	TRUE	376
HGNC:1788	TRUE	TRUE	14
HGNC:1789	FALSE	TRUE	12
HGNC:18037	FALSE	TRUE	10
HGNC:18039	TRUE	FALSE	19
HGNC:1806	FALSE	TRUE	10
HGNC:18078	TRUE	TRUE	17
HGNC:18184	TRUE	FALSE	14
HGNC:18238	TRUE	TRUE	32
HGNC:18420	FALSE	TRUE	38
HGNC:18513	TRUE	TRUE	13
HGNC:18756	FALSE	TRUE	13
HGNC:1915	FALSE	TRUE	13
HGNC:1916	TRUE	FALSE	14
HGNC:19181	TRUE	FALSE	18
HGNC:19309	FALSE	TRUE	10
HGNC:19382	TRUE	TRUE	16
HGNC:19383	FALSE	TRUE	10
HGNC:20595	TRUE	FALSE	14
HGNC:21067	FALSE	TRUE	10
HGNC:21100	FALSE	TRUE	9
HGNC:2235	FALSE	TRUE	37
HGNC:22958	TRUE	FALSE	19
HGNC:23115	FALSE	TRUE	8
HGNC:23217	FALSE	TRUE	8
HGNC:23357	TRUE	FALSE	8
HGNC:2345	TRUE	FALSE	9
HGNC:2363	TRUE	FALSE	15
HGNC:24224	FALSE	TRUE	8
HGNC:24241	TRUE	FALSE	8
HGNC:24304	TRUE	FALSE	9
HGNC:2433	TRUE	FALSE	22
HGNC:24352	TRUE	FALSE	10
HGNC:24500	TRUE	FALSE	9
HGNC:24642	FALSE	TRUE	20
HGNC:24678	TRUE	FALSE	110
HGNC:2478	FALSE	TRUE	8
HGNC:25009	TRUE	FALSE	9
HGNC:2514	TRUE	FALSE	97
HGNC:25209	FALSE	TRUE	11
HGNC:2584	FALSE	TRUE	16
HGNC:25843	FALSE	TRUE	16
HGNC:25883	TRUE	FALSE	34
HGNC:25941	FALSE	TRUE	18
HGNC:25996	TRUE	FALSE	39
HGNC:26002	FALSE	TRUE	11
HGNC:26066	TRUE	TRUE	47
HGNC:2662	FALSE	TRUE	8
HGNC:2663	FALSE	TRUE	12
HGNC:26837	FALSE	TRUE	15
HGNC:2701	FALSE	TRUE	10
HGNC:2726	TRUE	FALSE	12
HGNC:27310	FALSE	TRUE	24
HGNC:2745	TRUE	TRUE	13
HGNC:2768	TRUE	FALSE	32
HGNC:2865	TRUE	FALSE	13
HGNC:2897	FALSE	TRUE	37
HGNC:29330	TRUE	TRUE	36
HGNC:29484	TRUE	TRUE	22
HGNC:29608	TRUE	FALSE	78
HGNC:30042	FALSE	TRUE	13
HGNC:30064	FALSE	TRUE	39
HGNC:30091	TRUE	FALSE	23
HGNC:30134	TRUE	FALSE	14
HGNC:30215	TRUE	FALSE	19
HGNC:30469	TRUE	FALSE	11
HGNC:30809	TRUE	FALSE	16
HGNC:3113	TRUE	TRUE	36
HGNC:31675	TRUE	TRUE	20
HGNC:317	TRUE	FALSE	39
HGNC:3192	TRUE	FALSE	14
HGNC:32207	TRUE	FALSE	11
HGNC:3229	TRUE	FALSE	19
HGNC:3236	TRUE	TRUE	2654
HGNC:3238	TRUE	TRUE	27
HGNC:3332	TRUE	FALSE	44
HGNC:3335	FALSE	TRUE	18
HGNC:3386	TRUE	FALSE	8
HGNC:3390	FALSE	TRUE	10
HGNC:3430	TRUE	TRUE	1665
HGNC:3431	TRUE	FALSE	32
HGNC:3432	TRUE	FALSE	8
HGNC:3446	TRUE	FALSE	120
HGNC:3467	TRUE	TRUE	27
HGNC:3488	TRUE	FALSE	26
HGNC:3498	TRUE	FALSE	54
HGNC:3508	TRUE	FALSE	187
HGNC:3522	FALSE	TRUE	10
HGNC:3527	TRUE	TRUE	98
HGNC:357	FALSE	TRUE	12
HGNC:3594	TRUE	FALSE	21
HGNC:3595	FALSE	TRUE	8
HGNC:3675	TRUE	FALSE	11
HGNC:3688	TRUE	FALSE	16
HGNC:3689	TRUE	FALSE	14
HGNC:3690	TRUE	FALSE	30
HGNC:3701	TRUE	TRUE	24
HGNC:3749	TRUE	FALSE	38
HGNC:3750	TRUE	FALSE	10
HGNC:3765	TRUE	FALSE	49
HGNC:3796	TRUE	FALSE	267
HGNC:3818	TRUE	FALSE	68
HGNC:3819	TRUE	TRUE	36
HGNC:3821	FALSE	TRUE	23
HGNC:3823	TRUE	TRUE	38
HGNC:391	TRUE	TRUE	206
HGNC:392	TRUE	FALSE	14
HGNC:3942	TRUE	FALSE	57
HGNC:40	TRUE	FALSE	12
HGNC:4010	TRUE	FALSE	46
HGNC:4172	TRUE	TRUE	16
HGNC:4237	TRUE	FALSE	9
HGNC:427	TRUE	FALSE	464
HGNC:4317	TRUE	FALSE	410
HGNC:4318	TRUE	FALSE	31
HGNC:4319	TRUE	FALSE	9
HGNC:4390	TRUE	FALSE	21
HGNC:4392	TRUE	FALSE	12
HGNC:4415	FALSE	TRUE	17
HGNC:4451	TRUE	FALSE	12
HGNC:4856	TRUE	FALSE	13
HGNC:4893	TRUE	FALSE	53
HGNC:5021	TRUE	FALSE	19
HGNC:5022	FALSE	TRUE	12
HGNC:5056	TRUE	FALSE	12
HGNC:5106	FALSE	TRUE	14
HGNC:5109	TRUE	FALSE	30
HGNC:5154	FALSE	TRUE	13
HGNC:5173	TRUE	FALSE	53
HGNC:5358	FALSE	TRUE	13
HGNC:5363	TRUE	TRUE	30
HGNC:5382	TRUE	FALSE	11
HGNC:545	FALSE	TRUE	18
HGNC:5466	TRUE	FALSE	11
HGNC:5476	FALSE	TRUE	10
HGNC:583	TRUE	TRUE	411
HGNC:5951	FALSE	TRUE	50
HGNC:6075	TRUE	TRUE	32
HGNC:6106	TRUE	TRUE	45
HGNC:6111	FALSE	TRUE	12
HGNC:6116	FALSE	TRUE	10
HGNC:6119	TRUE	FALSE	11
HGNC:6192	TRUE	FALSE	11
HGNC:6204	TRUE	FALSE	141
HGNC:6342	TRUE	FALSE	744
HGNC:6344	FALSE	TRUE	15
HGNC:6348	TRUE	TRUE	166
HGNC:6349	TRUE	TRUE	20
HGNC:6407	TRUE	FALSE	1960
HGNC:644	TRUE	TRUE	30
HGNC:6641	TRUE	FALSE	18
HGNC:6642	TRUE	FALSE	62
HGNC:6705	FALSE	TRUE	8
HGNC:6770	TRUE	TRUE	140
HGNC:6776	TRUE	FALSE	65
HGNC:686	TRUE	FALSE	8
HGNC:687	FALSE	TRUE	24
HGNC:6871	TRUE	FALSE	32
HGNC:6935	FALSE	TRUE	13
HGNC:6973	TRUE	FALSE	46
HGNC:7000	TRUE	FALSE	17
HGNC:7010	TRUE	TRUE	77
HGNC:7029	TRUE	FALSE	418
HGNC:7105	TRUE	FALSE	191
HGNC:7132	TRUE	FALSE	84
HGNC:7136	TRUE	FALSE	19
HGNC:7146	FALSE	TRUE	9
HGNC:7217	TRUE	FALSE	38
HGNC:738	TRUE	FALSE	11
HGNC:7508	TRUE	FALSE	21
HGNC:7545	TRUE	FALSE	182
HGNC:7553	TRUE	FALSE	3653
HGNC:7555	TRUE	FALSE	47
HGNC:7559	TRUE	FALSE	777
HGNC:7562	TRUE	FALSE	10
HGNC:76	TRUE	FALSE	985
HGNC:7670	TRUE	FALSE	36
HGNC:7671	TRUE	FALSE	12
HGNC:7679	FALSE	TRUE	11
HGNC:7765	FALSE	TRUE	74
HGNC:777	FALSE	TRUE	11
HGNC:7773	FALSE	TRUE	65
HGNC:7785	TRUE	FALSE	30
HGNC:7794	TRUE	FALSE	70
HGNC:7838	TRUE	TRUE	44
HGNC:784	TRUE	TRUE	12
HGNC:785	TRUE	TRUE	20
HGNC:7881	TRUE	TRUE	121
HGNC:7882	TRUE	TRUE	11
HGNC:7910	TRUE	FALSE	58
HGNC:7961	FALSE	TRUE	14
HGNC:7980	TRUE	TRUE	12
HGNC:7989	TRUE	FALSE	492
HGNC:8014	TRUE	FALSE	17
HGNC:8031	TRUE	FALSE	38
HGNC:8033	TRUE	TRUE	14
HGNC:8060	FALSE	TRUE	10
HGNC:8068	TRUE	FALSE	14
HGNC:8143	FALSE	TRUE	9
HGNC:8522	TRUE	FALSE	21
HGNC:8590	TRUE	FALSE	9
HGNC:8607	FALSE	TRUE	11
HGNC:8620	FALSE	TRUE	15
HGNC:8749	TRUE	FALSE	66
HGNC:8760	FALSE	TRUE	8
HGNC:8763	FALSE	TRUE	15
HGNC:8803	TRUE	FALSE	77
HGNC:8910	TRUE	FALSE	9
HGNC:8923	TRUE	FALSE	18
HGNC:8947	TRUE	FALSE	17
HGNC:8949	FALSE	TRUE	31
HGNC:8975	TRUE	FALSE	92
HGNC:8986	TRUE	FALSE	29
HGNC:8988	TRUE	FALSE	9
HGNC:905	TRUE	FALSE	17
HGNC:9077	TRUE	FALSE	10
HGNC:9113	TRUE	TRUE	65
HGNC:9277	TRUE	FALSE	8
HGNC:9308	FALSE	TRUE	10
HGNC:9346	FALSE	TRUE	26
HGNC:9404	TRUE	FALSE	20
HGNC:950	FALSE	TRUE	68
HGNC:9555	TRUE	FALSE	15
HGNC:9585	TRUE	TRUE	38
HGNC:9588	TRUE	TRUE	893
HGNC:9591	TRUE	TRUE	907
HGNC:9605	TRUE	FALSE	21
HGNC:9642	TRUE	FALSE	8
HGNC:9644	TRUE	TRUE	44
HGNC:9645	FALSE	TRUE	15
HGNC:9668	FALSE	TRUE	17
HGNC:9690	TRUE	FALSE	36
HGNC:9758	TRUE	FALSE	11
HGNC:9801	TRUE	FALSE	14
HGNC:9829	TRUE	FALSE	30
HGNC:9836	FALSE	TRUE	9
HGNC:9864	TRUE	FALSE	34
HGNC:9882	FALSE	TRUE	71
HGNC:9884	TRUE	TRUE	612
HGNC:990	TRUE	FALSE	211
HGNC:9902	FALSE	TRUE	11
HGNC:992	TRUE	FALSE	20
HGNC:9954	TRUE	FALSE	20
HGNC:9967	TRUE	FALSE	1700
HGNC:998	TRUE	FALSE	9
